Region,Place name,Place type,Rating,Reviews,Price,Delivery option,Dine in option,Takeout option
Mariupol,Dim Kavu,Coffee store,4.6,206,,,,
Mariupol,Коферум,Cafe,5,24,$$,FALSE,,TRUE
Mariupol,Кофейня Світ Чаю,Coffee shop,5,11,,,,TRUE
Mariupol,Кофейня Starcoff,Coffee shop,4.4,331,$$,FALSE,TRUE,TRUE
Mariupol,"Кофейня ""Friend Zone""",Coffee shop,5,12,,,TRUE,TRUE
Mariupol,Racers Coffee Shop,Espresso bar,4.6,367,$$,FALSE,TRUE,TRUE
Mariupol,Займемся Кофе,Coffee shop,4.6,200,$$,FALSE,TRUE,TRUE
Mariupol,Кофейня Rit Rit,Coffee shop,4.6,292,$$,FALSE,,TRUE
Mariupol,Кав'ярня My coffee,Coffee shop,4.8,31,,,TRUE,TRUE
Mariupol,LENЬ. Coffee & desserts.,Coffee shop,4.8,125,$$,TRUE,TRUE,TRUE
Mariupol,SOVA COFFEE,Coffee shop,4.8,112,,,TRUE,TRUE
Mariupol,Кава Тайм,Coffee shop,4.9,14,,,,TRUE
Mariupol,Skver кафе,Cafe,4.9,18,,FALSE,TRUE,TRUE
Mariupol,Кафе на Георгіївській,Cafe,4.5,806,$,,TRUE,TRUE
Mariupol,Khosper,Cafe,4.2,609,$$,,TRUE,TRUE
Mariupol,Lekontina Шоколадна Майстерня,Cafe,4.7,172,$$,TRUE,TRUE,TRUE
Mariupol,Lecker,Cafe,4.8,234,$$,TRUE,TRUE,TRUE
Mariupol,Veterano Coffee,Coffee shop,4.5,136,$$,FALSE,,TRUE
Mariupol,VEIN,Cafe,4.5,166,$$,TRUE,TRUE,TRUE
Mariupol,Coffee Drive,Coffee shop,4.8,10,,FALSE,TRUE,TRUE
Poltava,G COFFEE,Coffee shop,4.5,1596,$$,TRUE,TRUE,
Poltava,Kavun,Coffee shop,4.7,1785,$$,TRUE,TRUE,
Poltava,Buns Brew Bar,Coffee shop,4.7,459,$$,FALSE,,TRUE
Poltava,Coffee House,Cafe,4.7,329,$$,FALSE,,TRUE
Poltava,"""Точка кофе""",Espresso bar,4.9,14,,FALSE,,TRUE
Poltava,Your Coffee,Cafe,4.7,569,$$,FALSE,TRUE,
Poltava,KOFEiN,Cafe,4.4,860,$$$,,TRUE,TRUE
Poltava,"Perfect Coffee, КАВ'ЯРНЯ",Espresso bar,4.8,124,$$,FALSE,TRUE,TRUE
Poltava,Misceva kavyarnya,Coffee shop,4.5,898,$$,FALSE,TRUE,TRUE
Poltava,Dzhi,Cafe,4.5,1195,$$,TRUE,TRUE,TRUE
Poltava,Gangster coffee shop,Coffee store,4.7,347,$$,TRUE,,
Poltava,Crema Caffe Poltava,Coffee shop,4.3,12,,FALSE,,TRUE
Poltava,COFFBOY,Coffee shop,4.7,112,,FALSE,TRUE,TRUE
Poltava,Wake Up Coffee,Coffee shop,4.9,17,,FALSE,,TRUE
Poltava,Lviv Handmade Chocolate,Chocolate shop,4.6,1376,$$,FALSE,TRUE,TRUE
Poltava,"ПЕРША ДЕГУСТАЦІЙНА ЗАЛА КАВИ ""GANGSTER_COFFEE SHOP 3""",Coffee store,5,37,,,,
Poltava,Aroma kava,Cafe,4.4,226,$$,FALSE,TRUE,TRUE
Poltava,Koffishka,Coffee shop,4.1,716,$$,FALSE,TRUE,TRUE
